name,channel_id,rss,status
Jimmy Broadbent,UCq-ylUNa9RoTK5jr6TBOYag,https://www.youtube.com/feeds/videos.xml?channel_id=UCq-ylUNa9RoTK5jr6TBOYag,confirmed
Boosted Media,UCH9Z2uxY1Rlij3Pez4omyeA,https://www.youtube.com/feeds/videos.xml?channel_id=UCH9Z2uxY1Rlij3Pez4omyeA,confirmed
Dave Cam,UCnwafXeJvjNzMttB1ptFPnQ,https://www.youtube.com/feeds/videos.xml?channel_id=UCnwafXeJvjNzMttB1ptFPnQ,confirmed
Driver61,UCtbLA0YM6EpwUQhFUyPQU9Q,https://www.youtube.com/feeds/videos.xml?channel_id=UCtbLA0YM6EpwUQhFUyPQU9Q,confirmed
Chris Haye,UCh4oMCJNapF8bSoSXTyxlWg,https://www.youtube.com/feeds/videos.xml?channel_id=UCh4oMCJNapF8bSoSXTyxlWg,confirmed
Sim Racing Garage,UCT_50ZiRFWSm7oziV1OZloQ,https://www.youtube.com/feeds/videos.xml?channel_id=UCT_50ZiRFWSm7oziV1OZloQ,confirmed
Super GT,UC-sJ8u8eu_ivfzekwkue38g,https://www.youtube.com/feeds/videos.xml?channel_id=UC-sJ8u8eu_ivfzekwkue38g,confirmed
The Simpit,UCqnakdO0DZ7w3ne7-EmaW7w,https://www.youtube.com/feeds/videos.xml?channel_id=UCqnakdO0DZ7w3ne7-EmaW7w,confirmed
GamerMuscle,UC69aRMKDNmaruRhBQ-_wyqw,https://www.youtube.com/feeds/videos.xml?channel_id=UC69aRMKDNmaruRhBQ-_wyqw,confirmed
iRacing Official,UCHy30iiRnjv1uLRSo0MC2fA,https://www.youtube.com/feeds/videos.xml?channel_id=UCHy30iiRnjv1uLRSo0MC2fA,confirmed
Random Callsign,UC1hoWeqSuf03UgeABeR2U3g,https://www.youtube.com/feeds/videos.xml?channel_id=UC1hoWeqSuf03UgeABeR2U3g,confirmed
Karl Gosling,UCSnP7yd5lIbrLW_nTqAc9xA,https://www.youtube.com/feeds/videos.xml?channel_id=UCSnP7yd5lIbrLW_nTqAc9xA,confirmed
Jardier,UCQyjqyKpJfD7BmJb37ABLyw,https://www.youtube.com/feeds/videos.xml?channel_id=UCQyjqyKpJfD7BmJb37ABLyw,confirmed
BlackPanthaa,UCS5_PRRahw4GFaJ0z2TmFfA,https://www.youtube.com/feeds/videos.xml?channel_id=UCS5_PRRahw4GFaJ0z2TmFfA,confirmed
Traxion.GG,NOT_FOUND,,failed
That Sim Racing Bloke,NOT_FOUND,,failed
Ermin Hamidovic,NOT_FOUND,,failed
Sim Racing Corner,NOT_FOUND,,failed
Dan Suzuki,NOT_FOUND,,failed
Kireth,NOT_FOUND,,failed
Inside Sim Racing,NOT_FOUND,,failed
Tiametmarduk,NOT_FOUND,,failed
Aarava,NOT_FOUND,,failed
AR12Gaming,NOT_FOUND,,failed
FailRace,NOT_FOUND,,failed
SLAPTrain,NOT_FOUND,,failed
Benjamin Daly,NOT_FOUND,,failed
Squirrel,NOT_FOUND,,failed
Daggerwin,NOT_FOUND,,failed
DjGoHam Gaming,NOT_FOUND,,failed
Hudson's Playground,NOT_FOUND,,failed
MrSealyP,NOT_FOUND,,failed
C.W. Lemoine,NOT_FOUND,,failed
ObsidianAnt,NOT_FOUND,,failed
320 Sim Pilot,NOT_FOUND,,failed
MajorTom,NOT_FOUND,,failed
eSimRacing PT,NOT_FOUND,,failed
Reiza Studios,NOT_FOUND,,failed
